ssb,f
1.2321007081,0.6846747519
1.592760181,0.5946103423
1.2458015267,0.7083916084
1.3937743191,0.6771099744
1.4482758621,0.6235332894
1.6382978723,0.5606294155
0.9833729216,0.8413547237
1.4003009782,0.6002169197
1.4108352144,0.6207386364
1.0095011876,0.8325213155
0.9850039463,0.8730375427
1.307518797,0.6240349599
1.3222308288,0.5953623188
1.5443234837,0.5265285498
1.5682684973,0.5153174141
1.6424287856,0.5290166205
1.5812883436,0.5327338129
1.3814671815,0.6639519359
1.4700389105,0.5658381809
1.2727272727,0.6350626118
1.2675947409,0.7428977273
0.9630212431,0.8626262626
1.464339909,0.6077380952
1.1446640316,0.8390243902
1.4853846154,0.5340653153
1.3059936909,0.6521052632
1.7857683573,0.4483570646
1.4303501946,0.6202531646
1.3597232898,0.6012242268
1.6155624037,0.5564339296
1.6735598227,0.5415035239
1.5827505828,0.509452254
1.3676355067,0.5300570426
1.1691699605,0.7246871445
1.5406015038,0.5428075052
1.4797245601,0.5337654685
1.4247856586,0.6458459673
1.6866010598,0.5244514107
1.4864864865,0.6093560146
1.4943988051,0.6670031056
2.1795827124,0.3468106479
1.1648522551,0.7669064748
1.5509118541,0.5889689978
1.27925117,0.6291316527
0.9524564184,0.8245614035
1.5487804878,0.5585947302
1.5661375661,0.5550962224
1.1060371517,0.7384506041
1.8292496172,0.5170854271
1.4165366615,0.5325875486
1.3129829985,0.6247642992
1.9851079672,0.3920248869
1.2832550861,0.6599307159
1.2691415313,0.7237834133
1.5083586626,0.5817675713
1.6282442748,0.5771573604
1.2378001549,0.7083047358
1.2881754111,0.7281494876
1.4159021407,0.5792364367
1.720610687,0.488603352
1.655379985,0.5244094488
1.358778626,0.5649807939
1.4174311927,0.6272094642
1.7636363636,0.4498351648
1.2598736177,0.6587383661
1.8624338624,0.47133608
1.5172413793,0.5163981588
1.5480268057,0.5552888222
1.295401403,0.6418716257
1.2727272727,0.6676885346
1.3788914199,0.5608949416
