Year,Twoline_BBmsy,Twoline_FFmsy,BH_BBmsy,BHFFmsy
1973,3.5,1.89,0.56,3.79
1974,3.12,1.55,0.5,3.13
1975,2.69,1.22,0.43,2.5
1976,2.69,1.04,0.37,2.4
1977,2.1,1.11,0.32,2.51
1978,1.97,1.13,0.29,2.65
1979,1.78,1.17,0.25,2.84
1980,1.67,1.29,0.23,3.26
1981,1.38,1.43,0.2,3.57
1982,1.34,1.66,0.19,4.27
1983,1.25,1.13,0.18,2.93
1984,1.18,0.86,0.17,2.28
1985,1.08,0.6,0.15,1.64
1986,1.14,0.75,0.16,2.1
1987,1.06,0.82,0.15,2.22
1988,1.07,0.94,0.15,2.47
1989,1.07,0.98,0.15,2.54
1990,0.94,1.13,0.14,2.66
1991,0.95,1.09,0.14,2.65
1992,0.93,1.08,0.14,2.64
1993,0.95,1.01,0.14,2.51
1994,0.97,0.9,0.14,2.29
1995,1.02,0.78,0.14,2.01
1996,1.1,0.77,0.15,2
1997,1.14,0.8,0.16,2.07
1998,1.12,0.83,0.16,2.17
1999,1.1,0.81,0.16,2.19
2000,1.14,0.81,0.16,2.26
2001,1.12,0.82,0.16,2.3
2002,1.09,0.83,0.15,2.37
2003,1.06,0.93,0.15,2.57
2004,1.05,0.96,0.15,2.55
2005,1.04,0.97,0.15,2.43
2006,1.03,0.78,0.15,1.96
2007,1.16,0.7,0.16,1.81
2008,1.24,0.61,0.18,1.58
2009,1.28,0.63,0.18,1.6
2010,1.23,0.63,0.17,1.55
2011,1.41,0.59,0.2,1.52
