ssb,f
0.1585662211,1.8039215686
0.2256651352,1.4922317675
0.1419130435,1.8100059559
0.1557391304,1.7955239064
0.1843902439,1.6130627558
0.2337127371,1.4345110929
0.1094273128,2.2149225716
0.2046629275,1.4783615316
0.1964790946,1.5392743924
0.10589701,2.2055501775
0.0898488121,2.3170289855
0.1831683168,1.5421166307
0.1940434239,1.5264565993
0.2434121829,1.3690710813
0.2492423324,1.305399823
0.2631515734,1.3076001369
0.2379688402,1.3622566304
0.1616079494,1.7357766143
0.2238151659,1.4659542403
0.1696706029,1.6455500618
0.1236048265,1.9661654135
0.0997555012,2.2493415277
0.2,1.5310215558
0.1017568517,2.2830595653
0.2295530195,1.3680946199
0.1728601253,1.7323825503
0.3124503311,1.1309573145
0.1838,1.6375512684
0.1843668577,1.5435897436
0.2295566502,1.448985725
0.2846733668,1.302996043
0.2569698499,1.3238443129
0.2580406106,1.352592095
0.1423484119,1.9169425218
0.245418613,1.3324803821
0.2289570262,1.3543660287
0.1731060606,1.7070043276
0.2626119755,1.3239949351
0.1885406464,1.6014689446
0.1989065606,1.6502112947
0.459977984,0.8477593616
0.1151421983,2.015503876
0.2147065012,1.4931456772
0.1783190171,1.6334545455
0.1105795768,2.1405335068
0.2225142357,1.4301317058
0.2346014493,1.3884827955
0.1248034934,1.9036277025
0.28007034,1.3390688259
0.2429106474,1.368065967
0.1734912693,1.6120661693
0.3892539057,0.959440753
0.1614173228,1.7391965916
0.1338499184,1.9037317469
0.2109682219,1.4757281553
0.2226746007,1.4887070376
0.1393199651,1.8458236451
0.1376569038,1.9512195122
0.1984994641,1.4745098039
0.2804878049,1.2426825803
0.2593422138,1.3133935908
0.2032195456,1.4213238847
0.1821218075,1.6048789174
0.3112299465,1.1283076075
0.1736148906,1.7354583844
0.3192950628,1.180946763
0.2432133645,1.3100277332
0.2526430915,1.3428882438
0.1669009841,1.6763277456
0.1602739726,1.7368421053
0.2070223438,1.4079440013
0.4008752735,1.0022478645
0.1290027447,1.8810013717
0.2370867161,1.3512687252
0.2325172777,1.4200380125
0.2644336175,1.2892241379
0.1002475248,2.2099915326
0.2011937059,1.5823496346
0.1821138211,1.6156030489
0.1442857143,1.8100504147
0.1385036496,1.8020888653
0.1842878865,1.5962992759
0.2046695319,1.5441370224
0.1537937743,1.7574996074
0.2034811438,1.5335868188
0.210282343,1.5682739973
0.1549854792,1.8007326007
0.1266375546,1.9418827214
0.2231574158,1.4197916667
0.414722264,0.9634236636
0.275298168,1.2575037147
0.1682577566,1.6905324621
0.2245294475,1.4406555644
0.2206380857,1.5850099831
0.2434123451,1.3291720476
0.3370646766,1.0711097888
0.3413889258,1.1463852097
0.2198135703,1.4699856219
0.1670103093,1.6304685076
0.1913776016,1.5944326991
0.1434931507,1.8152153987
0.2485697607,1.3499316836
0.1925925926,1.5739146035
0.1443269231,1.7912645182
0.2395526057,1.3389028126
0.1727090747,1.6174959636
0.3498363921,1.088
0.2311977716,1.3924380704
0.2100679694,1.4841319228
0.207178507,1.507867269
0.1373920553,1.8051124351
0.2066862681,1.4752541243
0.2356430944,1.4124677441
0.3479325354,1.0852713178
0.202552536,1.6017433942
0.1624509804,1.6536752137
0.181921841,1.6298342541
0.1292402827,1.9508693572
0.2162954916,1.4519859991
0.1934113747,1.5293804367
0.2542372881,1.25818231
0.3040347779,1.2525
0.184940273,1.5629860031
0.2926081961,1.2393776964
0.273563493,1.3228065358
0.2138470128,1.4646829409
0.2340248963,1.3375057951
0.2176969426,1.4291653834
0.1018867925,2.2661460875
0.1221374046,1.9088780839
0.0955911824,2.2390541289
0.1671010425,1.7541316324
0.1619981326,1.6986066043
0.1809437019,1.5931821836
0.1834190966,1.5883883336
0.2126189397,1.4509458865
0.2367318436,1.3686115535
0.159086758,1.7826426896
0.1750251762,1.6608311767
0.260921461,1.3914512148
0.314036479,1.1439935284
0.1484958154,1.8625910584
0.1722972973,1.5895497864
0.24124847,1.4099182274
0.06873297,2.7146619842
0.278824416,1.262205442
0.2227602906,1.4225127088
0.1139517345,2.0523854069
0.2021982806,1.5026217228
0.1402621723,1.8221258134
0.1629,1.7000473111
0.1378070175,1.8376514445
0.2785093168,1.266920547
0.2315727003,1.3480861244
0.1772241275,1.6656191075
0.491183479,0.8711509339
0.1314673452,2.0445313675
0.2060848323,1.5371950307
0.1695726132,1.648878577
0.1147928994,2.0358471424
0.1173805601,2.0697204446
0.2853562005,1.1488577745
0.1700413015,1.7438028371
0.2694407376,1.2806114727
0.172883487,1.7546498906
0.2969529814,1.1412783751
0.1833657588,1.5963896458
0.1742094862,1.6580516899
0.1196638655,2.0466278102
0.1537487829,1.8432510885
0.2318924557,1.4261954262
0.2315930388,1.4304991294
0.1989024527,1.476281439
0.1447565543,1.8322331348
0.305828259,1.2544334235
0.1515952598,1.8204684798
0.1316262354,1.9667721519
0.1996078431,1.6512929079
0.1466115702,1.9024793388
0.1105836576,2.0640834575
0.211141754,1.4786450663
0.2631513954,1.3002405131
0.2295968003,1.5121602289
0.1838812301,1.702516519
0.1991580311,1.5382370111
0.099850075,2.3369302625
0.2289156627,1.3719958203
0.2041301627,1.5454775779
0.2175364828,1.4844587353
0.2260801608,1.400589584
0.1579847909,1.6736361908
0.2578997387,1.3636736929
0.2529576778,1.3243653422
0.2076162984,1.5037164094
0.1571127503,1.7065684469
0.287332006,1.2695791156
0.1857608696,1.5321628093
0.3137384412,1.2217186683
0.1602003643,1.8376131809
0.1902224044,1.5813805197
0.1884946237,1.5286200495
0.2809686826,1.2234375
0.1757891381,1.7180078708
0.1436781609,1.8544752093
0.1384951881,1.8417863943
0.1327601032,2.0509322419
0.12328654,1.9850441876
0.2123933045,1.4470532619
0.3263157895,1.1592284418
0.2326428409,1.3827797485
0.2297008547,1.3557707829
0.1731362331,1.6515638702
0.1368466153,1.9035358737
0.2071397091,1.4598991378
0.1679262673,1.7470641373
0.150887574,1.7861063196
0.2123632385,1.4486416975
0.1458852868,1.8811605723
0.1548964218,1.8266585142
0.1889511609,1.5864761588
0.2217814641,1.371796728
0.1516981132,1.7718165259
0.1579198473,1.744392448
0.3368779823,1.1080998316
0.1623686724,1.7519282229
0.1789228653,1.6221170002
0.3405082627,1.0491039932
0.1494967978,1.7401315789
0.2498502815,1.4981797279
0.280155139,1.2236824638
0.2218649518,1.4040144884
0.1444635802,1.7565997011
0.1143378995,2.0632360058
0.0989528796,2.3275039746
0.2543027749,1.3197565543
0.1533455545,1.803252551
0.3403401797,1.317432784
0.1768045418,1.6441794791
0.2025720055,1.560643385
0.2983050847,1.2580946036
0.2290529314,1.3268450933
0.1858666109,1.5589882565
0.1876861966,1.6736214605
0.1719417476,1.7343118167
0.0846494465,2.3541030706
0.2083629472,1.4293817357
0.2374757503,1.5123094959
0.2597108737,1.3680278243
0.1778727445,1.62927575
0.0689677011,2.5968326655
0.1896150592,1.6398667246
0.1814172597,1.5851901491
0.1770743302,1.680356397
0.13665717,1.871471272
0.1182936833,2.114002874
0.3114285714,1.135734072
0.2045454545,1.4866020525
0.3479508197,1.0840104669
0.2357941834,1.3954172473
0.3093922652,1.1832408593
0.2261403708,1.4193028705
0.174501992,1.7272319426
0.1591976517,1.6692789969
0.1646528404,1.8153462258
0.3191800878,1.1425303788
0.1738491675,1.641957596
0.1333626761,1.9223985891
0.2073375968,1.483198146
0.1450046685,1.9058858239
0.234352418,1.4795081967
0.1764341085,1.615554853
0.1454634146,1.8303365606
0.1863307018,1.5527405991
0.2369590643,1.4087915042
0.1507561437,1.8141809291
0.1838756779,1.7021574671
0.1289325843,1.9923918212
0.3010974822,1.170963365
0.3043699834,1.1885209051
0.1473826715,1.7871591909
0.2475903614,1.3227535619
0.2638888889,1.3367583213
0.2368653422,1.4248399056
0.1822660099,1.6832123278
0.1967323187,1.5069090909
0.3184940555,1.1420009221
0.1510313901,1.8030469609
0.1761208577,1.6314586995
0.217199559,1.468981218
0.2804382617,1.284738041
0.268660375,1.2986762272
0.224137931,1.3601371357
0.1424684159,1.9280429421
0.2498021034,1.4027420737
0.1697607656,1.6465246245
0.2130975922,1.3983503895
0.2110660115,1.4771645212
0.2629379226,1.2803323306
0.1926900585,1.6199080678
0.1204808549,2.1628080657
0.2085790265,1.4657706846
0.1792291436,1.6615051099
0.2305306303,1.4203860072
0.1306930693,1.9756135206
0.134082397,1.8811234487
0.291146267,1.197574984
0.1189761695,2.0629139073
0.2211527945,1.4587371053
0.2504775818,1.422099608
0.1346613546,1.9230083764
0.1778251167,1.6353762607
0.1973642594,1.5692624761
0.2511942211,1.3851108164
0.1289585097,1.9518807184
0.3026997546,1.1918284208
0.1665388303,1.6881613757
0.1871524449,1.6118421053
0.197879086,1.4990856446
0.1211774325,2.0232825053
0.1789281495,1.6427640156
0.1507906977,1.8342097123
0.2373818003,1.336381269
0.1407906559,1.8646295384
0.2152911392,1.5521745812
0.2043346992,1.4952764442
0.1758567775,1.5764947747
0.3364954601,1.0912484446
0.1509515571,1.8023604721
0.147092469,1.8364289994
0.1766917293,1.6017212965
0.2147787711,1.4105414127
0.1740993184,1.6623544631
0.200436205,1.4708643574
0.2135204628,1.5470167986
0.0916363636,2.3638164411
0.4114825581,0.9993475992
0.1765070922,1.8043674427
0.3073681349,1.1028256375
0.128680203,1.9613075384
0.1943758721,1.5505993021
0.1814066468,1.5873252008
0.1412337662,1.8461268224
0.2793875743,1.285841496
0.2235975471,1.4025974026
0.2132475313,1.4605640175
0.2495743956,1.3689135607
0.1716341213,1.6350295103
0.2243478261,1.5085044929
0.1509140768,1.7398673545
0.2551140372,1.36541271
0.2314638783,1.3406184954
0.1928020566,1.5504498715
0.1937506876,1.4909270868
0.1484848485,1.8611772712
0.289704918,1.2264562699
0.1754162586,1.6648797672
0.2176086957,1.4698210494
0.1531680441,1.7951706911
0.103718048,2.233935743
0.152480916,1.7613365155
0.1467726848,1.7556920853
0.2260027039,1.3877072517
0.2874483127,1.1771303339
0.1936719947,1.5599716111
0.2008532226,1.4635936583
0.2750585624,1.2434769644
0.1851536873,1.5606936416
0.1231987332,1.9404125286
0.1187982833,1.9652203275
0.2710978342,1.2522583944
0.1369922213,1.9374287111
0.1515610218,1.7683557394
0.103917221,2.1842946023
0.26409248,1.2902480357
0.3694551036,1.0483717989
0.2609920392,1.2563756376
0.2457373272,1.3771063335
0.2357190635,1.4102238047
0.2068619806,1.452568178
0.1551546392,1.7775831874
0.3020760764,1.0819649885
0.177945651,1.6270026443
0.1783783784,1.6337767301
0.1672022684,1.7837120094
0.1768015795,1.6242111302
0.1269097222,1.9363876071
0.1684060721,1.6555458515
0.1743768694,1.777903203
0.1601626016,1.73089701
0.1674234946,1.7447878161
0.1147863248,2.1488764045
0.1565725414,1.7239661186
0.1621832359,1.6402300854
0.2104797701,1.4724374909
0.125660066,2.0053164978
0.1718934911,1.6396098529
0.1730279898,1.6388164955
0.2025776603,1.440335559
